,id,subject,text,classificacao,date,retweets,favorites,permalink
0,1.124513050218893e+18,macaco marielle,Marielle >BANDIDOS Narco-traficantes-Milícias pisou na bola PCC >Mandante do crime #Brazão do PT #OrganizaçãoCriminosa Assassinada por THIAGO- MACACO Midia para de acusar quem destruiu a sonhada #GRANDEPATRIA @ECantanhede @CarvalhosaMo @CarlosBolsonaro @RenovMidia @roxmo @SITEFCS pic.twitter.com/8HTb0VVmj8,fake,2019-05-04 0:16,0,0,https://twitter.com/MRTT_/status/1124513050218893312
1,1.1240493710064763e+18,macaco marielle,"Bem, as últimas noticias a respeito disso que o verdadeiro assassino de Marielle não é aqueles acusados senão um elemento de codinome  Macaco "". Ou seja, não colou a relação Bolsonaro x Marielle . Reveja suas fontes.""",fake,2019-05-02 17:33,0,0,https://twitter.com/EvaristoKlebber/status/1124049371006476293
5,1.1192950292043981e+18,macaco marielle,@jornalnacional convivi com notícias da Marielle durante 3 meses quase todos os dias. Porque pararam as reportagens? Só porque se descobriu que seu matador foi Thiago macaco ? Negro favelado e ligado ao tráfico? Bonemer vc é o supra sumo do ridículo .,fake,2019-04-19 14:41,0,0,https://twitter.com/luiztemper/status/1119295029204398080
10,1.1145825456252273e+18,macaco marielle,"O Cesari Battisti confessou seus crimes, a esquerda calou; o assassino de MARIELLE foi descoberto, a esquerda se calou e agora o Luladrão confessou, a esquerda meteu a língua onde o macaco meu o caju. Demagogos, hipocritas e fariseus",fake,2019-04-06 14:36,0,0,https://twitter.com/GrimoaldoL/status/1114582545625227333
11,1.1132459115918623e+18,macaco marielle,[Agência Lupa] Verificamos: É falso que Thiago Macaco foi identificado como assassino de Marielle https:// piaui.folha.uol.com.br/lupa/2019/04/0 1/verificamos-marielle-preso-thiago/ …,true,2019-04-02 22:04,1,0,https://twitter.com/antmarobel/status/1113245911591862272
12,1.1132093046671072e+18,macaco marielle,NO AR. Thiago Macaco não é acusado pela polícia de assassinar Marielle . https:// aosfatos.org/noticias/thiag o-macaco-nao-e-acusado-pela-policia-de-assassinar-marielle/ … pic.twitter.com/RucmWUvSoT,true,2019-04-02 19:39,10,16,https://twitter.com/aosfatos/status/1113209304667107329
14,1.1120133406861434e+18,macaco marielle,"Já descobriram quem mandou? A quem a Marielle incomodava, afinal? Desde sempre se soube da ligação entre o tráfico e as milícias. Estão dando agora uma de ingênuos? A notícia do thiago macaco já é antiga.",true,2019-03-30 12:26,2,2,https://twitter.com/Zapata_Taco/status/1112013340686143488
15,1.1116401680989184e+18,macaco marielle,Thiago Macaco é preso por envolvimento com a morte de Marielle - Brasil - iG https:// ultimosegundo.ig.com.br/brasil/2018-05 -30/marielle-franco-thiago-macaco.html …,fake,2019-03-29 11:44,3,3,https://twitter.com/pmmvander/status/1111640168098918400
16,1.111561080797569e+18,macaco marielle,"Vamos falar de Marielle ? Parou de falar dela porque? Por que Thiago Macaco do partido vermelho, preto, pobre, traficante confessou? Vc é muito cafageste Boulos! https:// twitter.com/GuilhermeBoulo s/status/1111372441551433728 …",fake,2019-03-29 6:29,2,4,https://twitter.com/EgeuJunior/status/1111561080797569024
28,1.0781270796050473e+18,macaco marielle,"Assassino bolsonarista é boa hahahahahaha Quanto a morte da tal Marielle , O Thiago Macaco (negro e pobre) ta preso. A Marielle foi morta pelos mesmos assassinos que o PSOL costuma defender.",fake,2018-12-27 0:15,0,0,https://twitter.com/HubnerLobo/status/1078127079605047296
29,1.0773498751955272e+18,macaco marielle,"Quem matou Marielle foi um traficante chamado Tiago Macaco . Traficante. Bandido. Vocês criaram o Frankstein e ele se voltou contra vocês. Mas o culpado tem que ser a polícia, não é mesmo?",fake,2018-12-24 20:46,0,0,https://twitter.com/direitasalva/status/1077349875195527168
33,1.040670021440168e+18,macaco marielle,"Quem matou Marielle ? Resposta: Thiago Macaco , homem negro, pobre e ligado ao tráfico pic.twitter.com/3aRayciINB",fake,2018-09-14 15:34,0,1,https://twitter.com/DireitaTrends/status/1040670021440167942
35,1.0406361005434305e+18,macaco marielle,"Na realidade não moça O suspeito foi um traficante “Thiago macaco ” se eu não me engano E nenhuma pessoa de posição política contrária à de Marielle foi indiciada como suspeita, então não foi um crime político, foi mais uma mulher que sofreu na mão da violência brasileira",fake,2018-09-14 13:19,0,10,https://twitter.com/truyts_/status/1040636100543430656
37,1.0396485192908554e+18,macaco marielle,"A esquerda atualmente está defendendo o cara que quase matou Bolsonaro, pois bem, que passemos a considerar que Tiago Macaco , o homem que matou Marielle Franco, é completamente inocente do caso:)",fake,2018-09-11 19:54,0,2,https://twitter.com/P3dro85809111/status/1039648519290855425
39,1.0378160200676557e+18,macaco marielle,"Que mundo vc vive? Quem matou a Marielle Foi Thiago macaco . Mas como o assassino é negro,vcs ficam se fazendo de desentendidos.",fake,2018-09-06 18:33,0,0,https://twitter.com/caioloxas/status/1037816020067655681
40,1.0370225763615704e+18,macaco marielle,"Errou! Tiago Macaco foi preso por envolvimento na morte do colaborador do Siciliano. Posteriormente foi divulgado pela mídia que ele teria participação na morte da Marielle e que não teria sido o assassino como você disse, mas sim o responsável pela clonagem do Cobalt. Fake News",true,2018-09-04 14:00,0,0,https://twitter.com/mcout_/status/1037022576361570313
42,1.0090872999912979e+18,macaco marielle,"Não há o Caso Marielle "" fora da imprensa. Já identificaram o assassino. O ex-presidiario Marcelo Macaco . Só que a esquerda não se conforma dele NÃO ser loiro de olhos azuis...""",fake,2018-06-19 11:55,0,0,https://twitter.com/senorseb/status/1009087299991298048
46,1.0051741920552264e+18,macaco marielle,"Assassino de Marielle foi descoberto! É Thiago Macaco , preto, pobre e traficante #boato http://www. boatos.org/politica/assas sino-marielle-thiago-macaco.html …",fake,2018-06-08 16:46,0,0,https://twitter.com/vivian_olive/status/1005174192055226368
56,1.0044735479332739e+18,macaco marielle,"Ao contrário das ilações do PSOL e Marcelo Freixo apontarem o provável assassino de Marielle como um homem branco, da PM e homofóbico, eis que a investigação chegou em Thiago Macaco que é negro, de origem pobre e ligado ao tráfico. A esquerda mente e silencia! #MarielleAusente pic.twitter.com/46kiqR6yPQ",fake,2018-06-06 18:22,1,3,https://twitter.com/DireitaTrends/status/1004473547933274113
60,1.0043701220714739e+18,macaco marielle,"Vamos voltar a falar de Marielle . MARIELLE VIVE.Foi assassinada por THIAGO MACACO . Ele NÃO MERECE PUNIÇÃO. Thiago Macaco é VÍTIMA DA SOCIEDADE OPRESSORA. Negro,pobre,apelido racista,sem oportunidades na sociedade. #ThiagoMacacoLivre Chamem @mariadorosario @lucianagenro @psol50",fake,2018-06-06 11:31,16,39,https://twitter.com/SrtaLawyerBr17/status/1004370122071474178
62,1.004302553016828e+18,macaco marielle,Marielle morta pelo Macaco ... Huahuhahahhahaha,fake,2018-06-06 7:02,0,0,https://twitter.com/senorseb/status/1004302553016827904
63,1.0041667653190205e+18,macaco marielle,"Ah cara, ainda estão tentando culpar a vítima pela morte cruel! Jogando o tal Macaco como culpado do assassinato de Marielle (o que ainda não foi confirmado) e dizendo que ela foi culpada por defender negro e “bandido”! É mais fácil fazer isso que admitir o racismo né?",true,2018-06-05 22:03,0,1,https://twitter.com/misscamafeu/status/1004166765319020546
64,1.0040573857685053e+18,macaco marielle,"Alô fakenews! O Thiago Macaco é só um dos suspeitos da morte da Marielle (que inclusive foi assassinada por um grupo de pessoas) - dentre outros suspeitos também tem o vereador Siciliano (PHS), envolvido com milícias, o ex-PM e chefe de milícia Orlando Oliveira, etc.",true,2018-06-05 14:48,0,1,https://twitter.com/princesa_otavio/status/1004057385768505344
67,1.00373285916792e+18,macaco marielle,O assassino da Marielle é um negro pobre e traficante com apelido de Macaco . E agora? cadê os esquerdistas? Jean Willis? Sakamoto? Maria do Rosario? Boulos? Manuela? PSOL? Cadê os artistas globais? Sumiram?,fake,2018-06-04 17:18,2,1,https://twitter.com/tadificil17/status/1003732859167920129
75,1.0025048835792077e+18,macaco marielle,"Preso suspeito de envolvimento no assassinato de Marielle . Preto, Pobre e de periferia Thiago Macaco "". O advogado de defesa deve ser do PSOL. pic.twitter.com/rLYxvHS9ph""",fake,2018-06-01 7:59,9,12,https://twitter.com/Eliseu_SS/status/1002504883579207680
77,1.0022421776642497e+18,macaco marielle,"Vixi, agora funde a cabeça dos hipócritas de plantão! Envolvido no assassinato de Marielle é negro e chamado de Macaco ! https:// glo.bo/2xt5ZaK pic.twitter.com/UW4MrtJHVG",fake,2018-05-31 14:35,0,0,https://twitter.com/giuseppe_mazzeo/status/1002242177664249856
79,1.0022402579228713e+18,macaco marielle,"Que? Então quer dizer que o matador de Marielle Presente é um negro e é chamado de Macaco ? Vixi, vai dar nó na cabeça da hipocrisia! E agora? - obs.: Presente é o sobrenome dela? pic.twitter.com/8yW7LeJCY8",fake,2018-05-31 14:27,1,1,https://twitter.com/giuseppe_mazzeo/status/1002240257922871297
80,1.0022077793758701e+18,macaco marielle,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado http:// dlvr.it/QVksGm",true,2018-05-31 12:18,0,0,https://twitter.com/jornaltijucas/status/1002207779375869952
81,1.00220242052352e+18,macaco marielle,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado http:// radiovoxbrazil.com/2018/05/prisao -de-thiago-macaco-nao-esta-relacionado-ao-caso-marielle-diz-delegado/ …",true,2018-05-31 11:57,0,0,https://twitter.com/BrazilVox/status/1002202420523520002
83,1.0021928525904486e+18,macaco marielle,"Prisão de 'Thiago Macaco ' não está relacionado ao caso Marielle , diz delegado - http:// news.jornaltijucas.com.br/prisao-de-thia go-macaco-nao-esta-relacionado-ao-caso-marielle-diz-delegado/ …",true,2018-05-31 11:19,0,0,https://twitter.com/jornalfloripa/status/1002192852590448641
87,1.001959814967292e+18,macaco marielle,"Polícia prende Thiago Macaco , suspeito de envolvimento com milícia de Jacarepaguá e citado por delator do caso Marielle . #rpnm2018 pic.twitter.com/2cq6whl6cR",fake,2018-05-30 19:53,0,0,https://twitter.com/brunoestrellah/status/1001959814967291905
88,1.0019284023901266e+18,macaco marielle,"Thiago Bruno Mendonça foi preso no shopping Nova América na tarde desta terça (30). Conhecido como Thiago Macaco , ele é acusado de envolvimento nas mortes da vereadora Marielle ... http://www. portaldolitoralpb.com.br/policia-prende -suspeito-de-envolvimento-no-caso-marielle/ …",fake,2018-05-30 17:48,0,0,https://twitter.com/LuizClaudiopb/status/1001928402390126592
89,1.0019212030225816e+18,macaco marielle,"Preso suspeito pela Morte de Marielle Franco, mais conhecido como Thiago  Macaco "",já podem retirar o argumento de que Marielle morreu por ser negra pic.twitter.com/trkRVwWZjh""",fake,2018-05-30 17:20,1,7,https://twitter.com/BrasileirosFirs/status/1001921203022581760
90,1.0019204609326899e+18,macaco marielle,"Thiago macaco , suspeito de estar envolvido na execução de Marielle Franco, foi preso no shopping nova América.",fake,2018-05-30 17:17,0,0,https://twitter.com/Alfredo_Carlos1/status/1001920460932689922
95,1.0019009983346033e+18,macaco marielle,"Dois meses depois... homem conhecido como Thiago Macaco (33) foi preso ontem no Rio. É suspeito de envolvimento no assassinato da vereadora Marielle /PSOL, mas foi preso pela morte de Carlos Alexandre Pereira, o Cabeça, colaborador do vereador Marcello Siciliano/(PHS).",fake,2018-05-30 15:59,3,3,https://twitter.com/BohnGass/status/1001900998334603265
157,1.1236004608694559e+18,dilma pablo escobar,"A foto, na verdade, não mostra @dilmabr e nem o traficante Pablo Escobar , e sim Miguel Ángel Zuvic e sua esposa, Ema. Zuvic é pai da política argentina @MarianaZuvic . Os outros 2 adultos na foto de fato são Néstor e Cristina Kirchner. Confira em: http:// bit.ly/2DHfdRd . pic.twitter.com/lszQYK89jb",true,2019-05-01 11:50,22,53,https://twitter.com/agencialupa/status/1123600460869455878
161,1.1233156237764077e+18,dilma pablo escobar,"Estadão: Foto antiga é usada para alegar falsa reunião entre casal Kirchner, Dilma e Pablo Escobar . Apelação escrota da direita chega a níveis de perversidade. #Venezuela https:// politica.estadao.com.br/blogs/estadao- verifica/foto-antiga-e-usada-para-alegar-falsa-reuniao-entre-casal-kirchner-dilma-e-pablo-escobar/ … via @GoogleNews",true,2019-04-30 16:58,4,3,https://twitter.com/patativaparana/status/1123315623776407552
164,1.1231903032325448e+18,dilma pablo escobar,"Montagem em foto antiga coloca casal Kirchner, Dilma e Pablo Escobar em falsa reunião - O Popular http:// bit.ly/2Wkiu0l",true,2019-04-30 8:40,3,5,https://twitter.com/CiroGomesNews/status/1123190303232544768
168,1.1229688099613368e+18,dilma pablo escobar,"A imagem com mensagem falsa ainda diz que os ex-presidentes argentinos Néstor e Cristina Kirchner estariam na foto. Os políticos peronistas de fato estão na foto, mas Dilma e Pablo Escobar , não.",true,2019-04-29 18:00,0,1,https://twitter.com/GaudTorquato/status/1122968809961336834
169,1.12296877206161e+18,dilma pablo escobar,Um boato antigo que alega que a ex-presidente Dilma Rousseff aparece em foto com Pablo Escobar voltou a circular no Facebook. Não é verdade que a petista tenha posado ao lado do famoso traficante colombiano.,true,2019-04-29 17:59,0,2,https://twitter.com/GaudTorquato/status/1122968772061609984
215,1.0148914783327068e+18,dilma pablo escobar,Sério que tão compartilhando aquela foto outra vez??? Aquela que dizem ser da Dilma com o Pablo Escobar !!! Kd a porra do bloqueio pras Fake News e seus propagadores Facebook? Daqui uns dias essas mentiras vão causar a morte de alguém por engano.,true,2018-07-05 12:19,0,1,https://twitter.com/sennaricarte/status/1014891478332706816
264,8.739339354027252e+17,dilma pablo escobar,"Nunca esqueço daquela foto da Dilma , Pablo Escobar e Kirchner",fake,2017-06-11 13:04,0,0,https://twitter.com/bichosrevolucao/status/873933935402725376
294,7.731113157160141e+17,dilma pablo escobar,"E essa foto da Dilma com Pablo Escobar , mas pera... não é Dilma e o cara não é Pablo Escobar . Os cara disseminam de tudo.",true,2016-09-06 7:51,1,0,https://twitter.com/GeaneVenturin/status/773111315716014081
333,7.271369569420001e+17,dilma pablo escobar,A Dilma sempre andou muito bem acompanhada.Acho que o Pablo Escobar aprendeu a ser mafioso com ela. pic.twitter.com/iMn74Td0FI,fake,2016-05-02 11:05,0,0,https://twitter.com/catoleeiro/status/727136956942000128
334,7.246408892981002e+17,dilma pablo escobar,"A ~foto de Dilma com Pablo Escobar ~ é uma evolução em relação aquela com Hitley, pelo menos eles estavam vivos na mesma época",true,2016-04-25 13:47,0,2,https://twitter.com/JOHN_TRANE/status/724640889298100225
739,1.1242667631836447e+18,bandejao bolsonaro,"No governo Bolsonaro . Almoço no Planalto, é no bandejão mesmo. Acabou a farra da era PT, de ter chefe com cardápio francês. Quem prepara as comidas são taifeiros militares, isso significa custo zero de mão de obra. As imagens, falam por si só. pic.twitter.com/W7vUhBu3Iv",fake,2019-05-03 7:57,0,0,https://twitter.com/ritaapleal1/status/1124266763183644672
766,1.1236800649426163e+18,bandejao bolsonaro,"ALMOÇO NO PLANALTO agora é no bandejão mesmo, acabou a farra da era PT, de ter chefe com cardápio francês. Quem prepara as comidas são taifeiros militares, isso significa custo zero de mão de obra. As imagens falam por si só. VIVA O BRASIL SOB NOVA DIREÇÃO VIVA BOLSONARO pic.twitter.com/kCzBSie53c",fake,2019-05-01 17:06,37,114,https://twitter.com/Pekena136/status/1123680064942616576
781,1.1233869521815347e+18,bandejao bolsonaro,"Chega de contratar chefs franceses para preparar o menu. Almoço no Planalto agora é no bandejão mesmo. Quem prepara as comidas são taifeiros militares, isso significa CUSTO ZERO de mão de obra. As imagens falam por si só, Presidente Bolsonaro dá exemplo. #MudaBrasil pic.twitter.com/jwHrLvtjyp",fake,2019-04-30 21:41,2,6,https://twitter.com/marcojudsson/status/1123386952181534721
810,1.1230248147956243e+18,bandejao bolsonaro,No governo Bolsonaro almoço no Planalto é no bandejão mesmo ! Acabou a farra da era PT de ter cheff com cardápio francês https://www. facebook.com/Poetaminas/pos ts/2407845875913669 …,fake,2019-04-29 21:42,0,0,https://twitter.com/PoetaminasBH/status/1123024814795624449
852,1.1220859964793568e+18,bandejao bolsonaro,"Salada, churrasco e batata frita: o almoço de Bolsonaro no bandejão do Planalto https:// glo.bo/2IJFN0q",true,2019-04-27 7:32,0,0,https://twitter.com/ArraisJi/status/1122085996479356928
862,1.1219879486044609e+18,bandejao bolsonaro,Bolsonaro almoça pela primeira vez no bandejão dos funcionários do Palác... https:// youtu.be/Y8wdBwKn1Z0 via @YouTube,true,2019-04-27 1:02,1,1,https://twitter.com/BrigidoGeraldo/status/1121987948604461057
866,1.1219659529193103e+18,bandejao bolsonaro,Bolsonaro é o primeiro chefe do Executivo a almoçar no bandejão da presidência. Ele prometeu voltar ao restaurante uma vez por mês. https://www. tvcidadenews.com.br/2019/04/bolson aro-faz-historia-ao-almocar-no.html …,true,2019-04-26 23:35,0,0,https://twitter.com/tvcidadenews/status/1121965952919310336
888,1.1218694675527598e+18,bandejao bolsonaro,Presidente Bolsonaro é flagrado comendo no bandejão do Palcário do Planalto https:// aconteceagora.com.br/presidente-bol sonaro-e-flagrado-comendo-no-bandejao-do-palcario-do-planalto/ … !!!!,true,2019-04-26 17:11,0,0,https://twitter.com/lnstagramdo/status/1121869467552759811
915,1.1218129208396184e+18,bandejao bolsonaro,Bolsonaro almoça no ' bandejão ' do Palácio do Planalto com ministros e assessores | Política | G1 https:// g1.globo.com/politica/notic ia/2019/04/25/bolsonaro-almoca-no-bandejao-do-palacio-do-planalto.ghtml …,true,2019-04-26 13:26,0,1,https://twitter.com/Roncacci/status/1121812920839618560
1741,1.1154492431483535e+18,travesti criança esperança,Repassem! Este esquerdopata que chamou Jesus Cristo de travesti e bicha é atração da #GloboLixo para o criança esperança . A #globolixo desafia a opiniao publica! pic.twitter.com/Dmu4HOtWkH,fake,2019-04-08 23:59,0,0,https://twitter.com/AcesseImoveis/status/1115449243148353536
1742,1.0616169910548234e+18,travesti criança esperança,Enquanto isso o Criança Esperança desse ano terá uma participação especial do mesmo imbecil que chamou Nosso Senhor Jesus Cristo de travesti . A Gobo por si só está decretando o seu fim. https://www. facebook.com/1421585067/pos ts/10213943677652339/ …,fake,2018-11-11 10:49,0,0,https://twitter.com/lfrrodrigues/status/1061616991054823424
1743,1.0614189893294979e+18,travesti criança esperança,"E um imbecil de marca MAIOR, o que as crianças com necessidade tem a ver com disputa eleitoral amigo? Ontem vi um idiota comentar o mesmo do criança esperança por causa de um apresentador que disse que Jesus era travesti , agora os necessitados sofrerão por causa de idiotas.",fake,2018-11-10 21:43,0,1,https://twitter.com/jandradehv/status/1061418989329498115
1744,1.0613078808031068e+18,travesti criança esperança,se é assim então Johnny Hooker dizer que Jesus é travesti ...prova que ele é xenofobico....e o mesmo esteve na rede globo...fazendo parte das atrações do criança esperança . ...e ai como é que fica?,fake,2018-11-10 14:21,0,0,https://twitter.com/ThiagoDMT1/status/1061307880803106816
1745,1.0611124173321503e+18,travesti criança esperança,"Rede Globo sendo Rede Globo. Olha que presença ilustre no criança esperança . Tomou em vão o nome do nosso Senhor, o chamou de travesti e ainda vai marcar presença em uma das campanhas mais milionários da tv brasileira em prol as crianças. Isso não está acontecem! pic.twitter.com/AWGJrsMpgU",fake,2018-11-10 1:24,1,0,https://twitter.com/NilzaMartins17/status/1061112417332150272
1746,1.0608755385612042e+18,travesti criança esperança,Boicote ao criança esperança !! O idiota que xingou Jesus de travesti será atração do programa!!! #GloboLixo #RedeEsgoto #CriançaEsperançaNão #CriançaRoubança,fake,2018-11-09 9:43,0,0,https://twitter.com/FlviaLima20/status/1060875538561204224
1747,1.0608730816847176e+18,travesti criança esperança,"grande @lobaoeletrico !! Não tem nada a ver com seu twitter,mas preciso só te sugerir puxar a hastag #criançaesperançanão ou #criançaroubança !!! Aquela coisa q chamou Jesus de travesti vai ser atração do criança esperança !!! E os babacas doando!!!! Vamos boicotar!!!!",fake,2018-11-09 9:33,0,0,https://twitter.com/FlviaLima20/status/1060873081684717568
1748,1.0608342201957007e+18,travesti criança esperança,CHAMOU JESUS DE TRAVESTI E SERÁ ATRAÇÃO NO CRIANÇA ESPERANÇA DO GLIBO LIXO! https://www. facebook.com/1350185211/pos ts/10212222655385478/ …,fake,2018-11-09 6:59,1,2,https://twitter.com/DeboraBergman3/status/1060834220195700736
1749,1.0348300227402464e+18,travesti criança esperança,"Usar""Cristo ñ é certo em qualquer ocasião Legal mesmo é chamar Jesus de travesti , bicha igual o @que foi no Criança Esperança ? Obs.: Jesus deu chicotadas literais nos vendilhões do templo, ele ñ estava muito pacífico nesta ocasião. Dica: Sem perseguição, sem mártir/herói""",fake,2018-08-29 12:47,0,0,https://twitter.com/VanshesckY/status/1034830022740246528
1764,1.032078736345256e+18,travesti criança esperança,"Isso se não desrespeitar a religião alheia e chamar Jesus de travesti . Depois, for no criança esperança pedir dinheiro....",fake,2018-08-21 22:35,0,0,https://twitter.com/GiancarloGuima/status/1032078736345255936
1765,1.0320294430726349e+18,travesti criança esperança,"Após chamar Jesus de travesti , Johnny Hooker canta no Criança Esperança https:// noticias.gospelprime.com.br/johnny-hooker- crianca-esperanca-toda-forma-de-amor/ …",fake,2018-08-21 19:19,0,0,https://twitter.com/hamiltonsi/status/1032029443072634881
1781,1.0313765533834733e+18,travesti criança esperança,"A tag Criança Esperança estava em primeiro lugar no Tt mas só haviam pessoas contra esta porcaria q estão fazendo, atriz e atores q apoiam o aborto pedindo dinheiro,cantor q chamou Jesus de travesti , q o Twitter derrubou a tag.",fake,2018-08-20 0:05,2,15,https://twitter.com/elisangelaqueli/status/1031376553383473153
1783,1.0312743564193176e+18,travesti criança esperança,VC QUE SE DIZ CRISTÃO E ESTA PENSANDO EM DOAR DINHEIRO PARA ESSE LIXO DE EMISSORA LEMBRE-SE A CRIATURA QUE CHAMOU JESUS CRISTO DE TRAVESTI É UMA DAS ATRAÇÕES DO CRIANÇA ESPERANÇA .,fake,2018-08-19 17:19,0,0,https://twitter.com/AllanDo55600506/status/1031274356419317766
1785,1.031019060505596e+18,travesti criança esperança,Globo lixo. Colocou Johnny Hooker no criança esperança aquele que chamou Jesus de travesti . #CriançaEsperança,fake,2018-08-19 0:24,1,2,https://twitter.com/Dianamocap/status/1031019060505595905
1789,1.0310046343479091e+18,travesti criança esperança,Criança Esperança ou lacração esperança? Não suje seu nome com essa corja que chama Jesus de travesti !! #NaoDoeCriancaEsperanca,fake,2018-08-18 23:27,0,1,https://twitter.com/aturaaverdade1/status/1031004634347909120
1792,1.0310013710871224e+18,travesti criança esperança,Nossa o cara fala que Jesus é travesti e gay sim. Onde ele está ? Na Globo no criança esperança,fake,2018-08-18 23:14,0,0,https://twitter.com/dimascantor/status/1031001371087122432
